BAS_DT,ISIN_CD,ITMS_NM,CLPR,VS,FLUC_RT,MKP,HIPR,LOPR,TR_QUANT,TR_PRC
20251230,KR70000D0009,TIGER 엔비디아미국채커버드콜밸런스(합성),9830,-50,,9880,9910,9800,,385957824
20251230,KR70000H0005,KODEX 인도Nifty미드캡100,11010,-35,,11045,11060,11005,,39983910
20251230,KR70000J0003,PLUS 한화그룹주,24800,20,,24935,24935,24445,,1399672662
20251230,KR70000Y0004,HK 26-12 회사채(AA-이상)액티브,100060,20,,0,0,0,,0
20251230,KR70000Z0003,RISE 바이오TOP10액티브,15380,-95,,15540,15545,15150,,1210152899
20251230,KR70001P0004,마이티 바이오시밀러&CDMO액티브,12025,50,,11975,12025,11900,,19502055
20251230,KR70001S0001,TIGER 26-04 회사채(A+이상)액티브,50960,-20,,50980,50990,50960,,192549185
20251230,KR70002C0008,에셋플러스 인도일등기업포커스20액티브,10315,-5,,10240,10335,10240,,5579285
20251230,KR70004G0002,1Q 미국배당TOP30,8985,5,,8960,8985,8915,,155938778
20251230,KR70005A0007,KODEX 미국S&P500데일리커버드콜OTM,9805,20,,9765,9810,9735,,1692920819
20251230,KR70005C0005,RISE 미국S&P500엔화노출(합성 H),10960,-20,,10965,10980,10960,,4562435
20251230,KR70005D0004,SOL 전고체배터리&실리콘음극재,12540,-325,,12625,12690,12470,,2082478731
20251230,KR70005G0001,ITF K-AI반도체코어테크,20775,5,,20770,20960,20755,,198718210
20251230,KR70007F0000,KODEX 27-12 회사채(AA-이상)액티브,10110,-15,,10105,10115,10105,,99255542
20251230,KR70007G0009,PLUS 글로벌원자력밸류체인,14095,-105,,14305,14315,14060,,460161697
20251230,KR70007N0000,아이엠에셋 200,61775,325,,61290,61950,61290,,300454914
20251230,KR70008E0000,ACE 미국중심중소형제조업,11530,-55,,11585,11585,11465,,15075270
20251230,KR70008S0004,TIGER 미국배당다우존스타겟데일리커버드콜,9025,30,,8995,9030,8965,,680786442
20251230,KR70008T0003,SOL 화장품TOP3플러스,12140,-40,,12220,12400,12120,,2415392508
20251230,KR70010E0006,ACE FTSE WGBI Korea,95750,70,,96190,96190,95750,,39731886
