ETF_ID,NAME,THEME,ASSET_TYPE,RISK_LEVEL,EXPENSE_LEVEL
KR0000360750,TIGER 미국S&P500,해외주식(미국),ETF,3,low
KR0000069500,KODEX 200,국내주식,ETF,2,low
KR0000459580,KODEX CD금리액티브(합성),채권/금리,ETF,1,high
KR0000488770,KODEX 머니마켓액티브,단기자금/MMF,ETF,1,high
KR0000133690,TIGER 미국나스닥100,해외주식(미국),ETF,3,low
KR0000379800,KODEX 미국S&P500,해외주식(미국),ETF,3,low
KR0000102110,TIGER 200,국내주식,ETF,2,low
KR0000379810,KODEX 미국나스닥100,해외주식(미국),ETF,3,low
KR0000357870,TIGER CD금리투자KIS(합성),채권/금리,ETF,1,mid
KR0000278530,KODEX 200TR,국내주식,ETF,2,low
KR0000423160,KODEX KOFR금리액티브(합성),채권/금리,ETF,1,high
KR0000381170,TIGER 미국테크TOP10 INDXX,해외주식(미국),ETF,3,mid
KR0000122630,KODEX 레버리지,파생(인버스),ETF,4,high
KR00000043B0,TIGER 머니마켓액티브,채권/금리,ETF,1,high
KR0000411060,ACE KRX금현물,원자재,ETF,3,mid
KR0000273130,KODEX 종합채권(AA-이상)액티브,채권/금리,ETF,1,high
KR0000381180,TIGER 미국필라델피아반도체나스닥,해외주식(미국),ETF,3,low
KR0000310970,TIGER MSCI Korea TR,국내주식,ETF,2,mid
KR0000396500,TIGER 반도체TOP10,해외주식,ETF,3,mid
KR0000360200,ACE 미국S&P500,해외주식(미국),ETF,3,mid
KR0000481050,KODEX CD1년금리플러스액티브(합성),채권/금리,ETF,1,high
KR0000449170,TIGER KOFR금리액티브(합성),채권/금리,ETF,1,high
KR0000367380,ACE 미국나스닥100,해외주식(미국),ETF,3,mid
KR0000148020,RISE 200,국내주식,ETF,2,mid
KR0000458730,TIGER 미국배당다우존스,해외주식(미국),ETF,3,mid
KR0000453850,ACE 미국30년국채액티브(H),채권/금리,ETF,1,mid
KR00000117L0,KODEX 26-12 금융채(AA-이상)액티브,채권/금리,ETF,1,high
KR0000498400,KODEX 200타겟위클리커버드콜,해외주식,ETF,3,low
KR0000455890,RISE 머니마켓액티브,채권/금리,ETF,1,mid
KR0000466920,SOL 조선TOP3플러스,해외주식,ETF,3,mid
KR0000102780,KODEX 삼성그룹,해외주식,ETF,3,mid
KR0000091160,KODEX 반도체,해외주식,ETF,3,mid
KR0000214980,KODEX 단기채권PLUS,채권/금리,ETF,1,mid
KR0000233740,KODEX 코스닥150레버리지,파생(인버스),ETF,4,high
KR0000278540,KODEX MSCI Korea TR,국내주식,ETF,2,mid
KR0000161510,PLUS 고배당주,해외주식,ETF,3,mid
KR0000229200,KODEX 코스닥150,국내주식,ETF,2,low
KR0000475630,TIGER CD1년금리액티브(합성),단기자금/MMF,ETF,1,high
KR0000385540,RISE 종합채권(A-이상)액티브,채권/금리,ETF,1,mid
KR0000371460,TIGER 차이나전기차SOLACTIVE,해외주식(미국),ETF,3,high
KR0000292150,TIGER 코리아TOP10,해외주식,ETF,3,mid
KR0000305720,KODEX 2차전지산업,해외주식,ETF,3,mid
KR0000487230,KODEX 미국AI전력핵심인프라,해외주식(미국),ETF,3,mid
KR0000294400,KIWOOM 200TR,국내주식,ETF,2,mid
KR0000315930,KODEX Top5PlusTR,해외주식,ETF,3,mid
KR0000379780,RISE 미국S&P500,해외주식(미국),ETF,3,mid
KR0000449450,PLUS K방산,해외주식,ETF,3,mid
KR00000139F0,TIGER 12월자동연장금융채(AA-이상)액티브,채권/금리,ETF,1,high
KR0000252670,KODEX 200선물인버스2X,파생(인버스),ETF,4,high
KR0000476550,TIGER 미국30년국채커버드콜액티브(H),채권/금리,ETF,1,high
KR0000457480,ACE 테슬라밸류체인액티브,해외주식(미국),ETF,3,mid
KR00000061Z0,RISE 단기특수은행채액티브,채권/금리,ETF,1,mid
KR0000368590,RISE 미국나스닥100,해외주식(미국),ETF,3,mid
KR0000395160,KODEX AI반도체,해외주식,ETF,3,mid
KR0000477080,RISE CD금리액티브(합성),채권/금리,ETF,1,mid
KR0000152100,PLUS 200,국내주식,ETF,2,mid
KR0000441640,KODEX 미국배당커버드콜액티브,해외주식(미국),ETF,3,high
KR0000456600,TIMEFOLIO 글로벌AI인공지능액티브,해외주식(미국),ETF,3,mid
KR0000487240,KODEX AI전력핵심설비,해외주식,ETF,3,mid
KR0000371160,TIGER 차이나항셍테크,해외주식(미국),ETF,3,mid
KR0000329200,TIGER 리츠부동산인프라,해외주식,ETF,3,mid
KR0000426030,TIMEFOLIO 미국나스닥100액티브,해외주식(미국),ETF,3,mid
KR0000465580,ACE 미국빅테크TOP7 Plus,해외주식(미국),ETF,3,mid
